Protein A;Gene A;Protein B;Gene B;Score;PMID
P51451;BLK;P04626;ERBB2;0.183;16273093 
P51452;DUSP3;P00533;EGFR;0.309;1281549 
P51636;CAV2;P00533;EGFR;0.692;24658140 15273741 16799092 25402006 
P51692;STAT5B;P00533;EGFR;0.583;10558875 22729867 16729043 
P51797;CLCN6;P04626;ERBB2;0.286;25640309 
Q8IYI6;EXOC8;P00533;EGFR;0.309;25594178 23956138 
P51813;BMX;P00533;EGFR;0.183;16273093 
P51813;BMX;P04626;ERBB2;0.183;16273093 
P45984;MAPK9;P00533;EGFR;0.286;24658140 25402006 
P46937;YAP1;P00533;EGFR;0.21;12807903 
P52306;RAP1GDS1;P00533;EGFR;0.286;20029029 
P46098;HTR3A;P00533;EGFR;0.126;28514442 
P52630;STAT2;P00533;EGFR;0.286;24658140 25402006 
P52735;VAV2;P21860;ERBB3;0.183;16273093 
Q8IZW8;TNS4;P00533;EGFR;0.183;16273093 
Q8IZW8;TNS4;P21860;ERBB3;0.183;16273093 
P52757;CHN2;P21860;ERBB3;0.183;16273093 
P46109;CRKL;P00533;EGFR;0.623;24658140 16729043 23397142 18271526 25402006 
P46109;CRKL;P04626;ERBB2;0.183;16273093 
P46109;CRKL;P21860;ERBB3;0.183;16273093 
P23458;JAK1;P04626;ERBB2;0.183;16273093 
P23467;PTPRB;P04626;ERBB2;0.065;19167335 
P23471;PTPRZ1;P04626;ERBB2;0.065;19167335 
P23528;CFL1;P00533;EGFR;0.376;24658140 20029029 
Q15303;ERBB4;P23528;CFL1;0.126;24658140 
P19022;CDH2;P00533;EGFR;0.376;19033391 
P19022;CDH2;P04626;ERBB2;0.376;19033391 
Q99075;HBEGF;P00533;EGFR;0.454;12725245 15358134 
Q96EY1;DNAJA3;P00533;EGFR;0.396;23956138 23698466 15657067 
P24394;IL4R;P04626;ERBB2;0.126;28514442 
Q86YD3;TMEM25;P00533;EGFR;0.126;26186194 
Q8N2Y8;RUSC2;P00533;EGFR;0.286;20029029 
Q99608;NDN;P00533;EGFR;0.286;20029029 
Q99650;OSMR;P00533;EGFR;0.21;27110918 
Q99700;ATXN2;P00533;EGFR;0.376;18602463 
Q99704;DOK1;P00533;EGFR;0.376;24658140 25402006 
Q99704;DOK1;P04626;ERBB2;0.332;16273093 
Q8N4S1;SPARCL1;P00533;EGFR;0.126;20029029 
Q99963;SH3GL3;P00533;EGFR;0.286;24658140 25402006 
P25098;ADRBK1;P00533;EGFR;0.454;15620700 
Q8N6M6;AOPEP;P00533;EGFR;0.126;24412244 
Q8N6N2;TTC9B;P04626;ERBB2;0.286;25640309 
P19338;NCL;P00533;EGFR;0.472;28065597 24780295 25261371 
Q9BPW0;PPP5C;P04626;ERBB2;0.126;25036637 
Q96JA1;LRIG1;P04626;ERBB2;0.21;15282549 
Q96JA1;LRIG1;P21860;ERBB3;0.21;15282549 
Q96SB4;SRPK1;P04626;ERBB2;0.21;23602568 
Q9BSM1;PCGF1;P21860;ERBB3;0.126;26687479 
Q9BT67;NDFIP1;P00533;EGFR;0.21;20534535 
Q9BU70;C9ORF156;P04626;ERBB2;0.126;24412244 
Q96KP1;EXOC2;P00533;EGFR;0.21;25594178 
Q96KQ4;PPP1R13B;P04626;ERBB2;0.21;17875712 
Q9BUN8;DERL1;P00533;EGFR;0.376;23306155 
